visitid,Order ID,Order Date,Visit Date,Ship Date,Ship Mode,Store ID,Execution Score,On_Shelf,Inventory_Level,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
480,CA-2016-100790,6/26/2016,6/26/2016,7/2/2016,Standard Class,JG-15805,86,1,21,JG-15805,John Grady,Corporate,United States,New York City,New York,10024,East,OFF-AR-10003045,Office Supplies,Art,Prang Colored Pencils,14.7,5,0,6.615
481,CA-2016-100790,6/26/2016,6/26/2016,7/2/2016,Standard Class,JG-15805,61,1,25,JG-15805,John Grady,Corporate,United States,New York City,New York,10024,East,OFF-ST-10000689,Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",704.25,5,0,84.51
482,CA-2014-134677,10/6/2014,10/6/2014,10/10/2014,Standard Class,XP-21865,99,0,17,XP-21865,Xylona Preis,Consumer,United States,San Diego,California,92024,West,TEC-AC-10001445,Technology,Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,9.09,3,0,1.9089
483,CA-2014-127691,7/22/2014,7/22/2014,7/27/2014,Standard Class,EM-14065,74,0,16,EM-14065,Erin Mull,Consumer,United States,New York City,New York,10024,East,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",5.96,2,0,1.6688
484,CA-2014-127691,7/22/2014,7/22/2014,7/27/2014,Standard Class,EM-14065,69,0,20,EM-14065,Erin Mull,Consumer,United States,New York City,New York,10024,East,TEC-AC-10002567,Technology,Accessories,Logitech G602 Wireless Gaming Mouse,159.98,2,0,57.5928
485,CA-2017-140963,6/10/2017,6/10/2017,6/13/2017,First Class,MT-18070,82,1,19,MT-18070,Michelle Tran,Home Office,United States,Los Angeles,California,90045,West,OFF-LA-10003923,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,29.6,2,0,14.8
486,CA-2017-140963,6/10/2017,6/10/2017,6/13/2017,First Class,MT-18070,76,0,22,MT-18070,Michelle Tran,Home Office,United States,Los Angeles,California,90045,West,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.165,5,0.15,-30.245
487,CA-2017-140963,6/10/2017,6/10/2017,6/13/2017,First Class,MT-18070,66,1,18,MT-18070,Michelle Tran,Home Office,United States,Los Angeles,California,90045,West,TEC-PH-10001924,Technology,Phones,iHome FM Clock Radio with Lightning Dock,279.96,5,0.2,17.4975
488,CA-2014-154627,10/29/2014,10/29/2014,10/31/2014,First Class,SA-20830,98,1,25,SA-20830,Sue Ann Reed,Consumer,United States,Chicago,Illinois,60610,Central,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735.952,6,0.2,341.994
489,CA-2014-133753,6/9/2014,6/9/2014,6/13/2014,Second Class,CW-11905,97,1,12,CW-11905,Carl Weiss,Home Office,United States,Huntsville,Texas,77340,Central,TEC-PH-10000376,Technology,Phones,Square Credit Card Reader,7.992,1,0.2,0.5994
490,CA-2014-133753,6/9/2014,6/9/2014,6/13/2014,Second Class,CW-11905,58,0,21,CW-11905,Carl Weiss,Home Office,United States,Huntsville,Texas,77340,Central,TEC-AC-10000303,Technology,Accessories,Logitech M510 Wireless Mouse,63.984,2,0.2,10.3974
491,CA-2014-133753,6/9/2014,6/9/2014,6/13/2014,Second Class,CW-11905,71,0,22,CW-11905,Carl Weiss,Home Office,United States,Huntsville,Texas,77340,Central,OFF-AR-10001953,Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,70.368,2,0.2,6.1572
492,CA-2014-113362,9/14/2014,9/14/2014,9/19/2014,Standard Class,AJ-10960,52,1,24,AJ-10960,Astrea Jones,Consumer,United States,Rochester,New York,14609,East,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,449.15,5,0,8.983
493,CA-2014-113362,9/14/2014,9/14/2014,9/19/2014,Standard Class,AJ-10960,67,0,11,AJ-10960,Astrea Jones,Consumer,United States,Rochester,New York,14609,East,OFF-EN-10003845,Office Supplies,Envelopes,Colored Envelopes,11.07,3,0,5.0922
494,CA-2016-169166,5/9/2016,5/9/2016,5/14/2016,Standard Class,SS-20590,76,1,13,SS-20590,Sonia Sunley,Consumer,United States,Seattle,Washington,98115,West,TEC-AC-10000991,Technology,Accessories,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,93.98,2,0,13.1572
495,US-2016-120929,3/18/2016,3/18/2016,3/21/2016,Second Class,RO-19780,81,1,15,RO-19780,Rose O'Brian,Consumer,United States,Memphis,Tennessee,38109,South,FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,189.882,3,0.4,-94.941
496,CA-2015-134782,12/27/2015,12/27/2015,12/31/2015,Standard Class,MD-17350,99,1,7,MD-17350,Maribeth Dona,Consumer,United States,Fayetteville,Arkansas,72701,South,OFF-EN-10001434,Office Supplies,Envelopes,"Strathmore #10 Envelopes, Ultimate White",105.42,2,0,51.6558
497,CA-2016-126158,7/25/2016,7/25/2016,7/31/2016,Standard Class,SC-20095,66,1,16,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,119.616,8,0.2,40.3704
498,CA-2016-126158,7/25/2016,7/25/2016,7/31/2016,Standard Class,SC-20095,92,1,16,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",255.76,4,0,81.8432
499,CA-2016-126158,7/25/2016,7/25/2016,7/31/2016,Standard Class,SC-20095,50,1,8,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,241.568,2,0.2,18.1176
500,CA-2016-126158,7/25/2016,7/25/2016,7/31/2016,Standard Class,SC-20095,82,0,27,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,FUR-FU-10000073,Furniture,Furnishings,Deflect-O Glasstique Clear Desk Accessories,69.3,9,0,22.869
501,US-2016-105578,5/30/2016,5/30/2016,6/4/2016,Standard Class,MY-17380,69,1,18,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,22.62,2,0.7,-15.08
502,US-2016-105578,5/30/2016,5/30/2016,6/4/2016,Standard Class,MY-17380,91,1,13,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,14.952,2,0.7,-11.9616
503,US-2016-105578,5/30/2016,5/30/2016,6/4/2016,Standard Class,MY-17380,51,0,15,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,801.568,2,0.2,50.098
504,US-2016-105578,5/30/2016,5/30/2016,6/4/2016,Standard Class,MY-17380,76,1,14,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets,2.376,3,0.7,-1.9008
505,US-2016-105578,5/30/2016,5/30/2016,6/4/2016,Standard Class,MY-17380,84,1,17,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-PA-10000357,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",32.792,1,0.2,11.8871
506,CA-2017-134978,11/12/2017,11/12/2017,11/15/2017,Second Class,EB-13705,82,0,19,EB-13705,Ed Braxton,Corporate,United States,New York City,New York,10024,East,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,5,0.2,5.373
507,CA-2015-145352,3/16/2015,3/16/2015,3/22/2015,Standard Class,CM-12385,72,1,6,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,2.74,1,0,0.7398
508,CA-2015-145352,3/16/2015,3/16/2015,3/22/2015,Standard Class,CM-12385,98,0,23,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318,South,OFF-AR-10003856,Office Supplies,Art,Newell 344,8.34,3,0,2.1684
509,CA-2015-145352,3/16/2015,3/16/2015,3/22/2015,Standard Class,CM-12385,58,0,16,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318,South,OFF-ST-10001228,Office Supplies,Storage,Personal File Boxes with Fold-Down Carry Handle,46.74,3,0,11.685
510,CA-2015-145352,3/16/2015,3/16/2015,3/22/2015,Standard Class,CM-12385,64,1,10,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,5,0,3177.475
511,CA-2017-135307,11/26/2017,11/26/2017,11/27/2017,First Class,LS-17245,70,1,10,LS-17245,Lynn Smith,Consumer,United States,Gladstone,Missouri,64118,Central,FUR-FU-10001290,Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,126.3,3,0,40.416
512,CA-2017-135307,11/26/2017,11/26/2017,11/27/2017,First Class,LS-17245,94,1,21,LS-17245,Lynn Smith,Consumer,United States,Gladstone,Missouri,64118,Central,TEC-AC-10002399,Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,38.04,2,0,12.1728
513,CA-2016-106341,10/20/2016,10/20/2016,10/23/2016,First Class,LF-17185,58,0,20,LF-17185,Luke Foster,Consumer,United States,Newark,Ohio,43055,East,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",7.152,3,0.2,0.7152
514,CA-2017-163405,12/21/2017,12/21/2017,12/25/2017,Standard Class,BN-11515,96,1,15,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3,0,1.7901
515,CA-2017-163405,12/21/2017,12/21/2017,12/25/2017,Standard Class,BN-11515,61,1,20,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10001246,Office Supplies,Art,Newell 317,5.88,2,0,1.7052
516,CA-2017-127432,1/22/2017,1/22/2017,1/27/2017,Standard Class,AD-10180,75,1,16,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405,West,TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,2999.95,5,0,1379.977
517,CA-2017-127432,1/22/2017,1/22/2017,1/27/2017,Standard Class,AD-10180,57,0,9,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405,West,OFF-ST-10004507,Office Supplies,Storage,Advantus Rolling Storage Box,51.45,3,0,13.8915
518,CA-2017-127432,1/22/2017,1/22/2017,1/27/2017,Standard Class,AD-10180,85,1,14,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405,West,OFF-PA-10001667,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),11.96,2,0,5.382
519,CA-2017-127432,1/22/2017,1/22/2017,1/27/2017,Standard Class,AD-10180,67,1,15,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405,West,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02,3,0,56.301
520,CA-2015-157812,3/22/2015,3/22/2015,3/26/2015,Standard Class,DB-13210,96,0,18,DB-13210,Dean Braden,Consumer,United States,Houston,Texas,77041,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",18.392,1,0.2,5.2877
521,CA-2015-157812,3/22/2015,3/22/2015,3/26/2015,Standard Class,DB-13210,81,1,14,DB-13210,Dean Braden,Consumer,United States,Houston,Texas,77041,Central,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,129.568,2,0.2,-25.9136
522,CA-2015-157812,3/22/2015,3/22/2015,3/26/2015,Standard Class,DB-13210,93,1,24,DB-13210,Dean Braden,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10000285,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,14.112,9,0.8,-21.168
523,CA-2017-145142,1/23/2017,1/23/2017,1/25/2017,First Class,MC-17605,56,1,13,MC-17605,Matt Connell,Corporate,United States,Detroit,Michigan,48234,Central,FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,210.98,2,0,21.098
524,US-2016-139486,5/21/2016,5/21/2016,5/23/2016,First Class,LH-17155,60,0,10,LH-17155,Logan Haushalter,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,55.176,3,0.2,-12.4146
525,US-2016-139486,5/21/2016,5/21/2016,5/23/2016,First Class,LH-17155,55,1,9,LH-17155,Logan Haushalter,Consumer,United States,Los Angeles,California,90032,West,TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,66.26,2,0,27.1666
526,CA-2015-158792,12/26/2015,12/26/2015,1/2/2016,Standard Class,BD-11605,88,0,22,BD-11605,Brian Dahlen,Consumer,United States,Lawrence,Massachusetts,1841,East,OFF-FA-10002815,Office Supplies,Fasteners,Staples,22.2,5,0,10.434
527,CA-2017-113558,10/21/2017,10/21/2017,10/26/2017,Standard Class,PH-18790,57,0,9,PH-18790,Patricia Hirasaki,Home Office,United States,Lakeland,Florida,33801,South,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,683.952,3,0.2,42.747
528,CA-2017-113558,10/21/2017,10/21/2017,10/26/2017,Standard Class,PH-18790,65,0,23,PH-18790,Patricia Hirasaki,Home Office,United States,Lakeland,Florida,33801,South,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45.696,3,0.2,5.1408
529,US-2015-138303,9/3/2015,9/3/2015,9/7/2015,Standard Class,MG-18145,52,1,12,MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-ST-10004963,Office Supplies,Storage,Eldon Gobal File Keepers,36.336,3,0.2,-7.2672
530,US-2015-138303,9/3/2015,9/3/2015,9/7/2015,Standard Class,MG-18145,54,1,9,MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,666.248,1,0.2,-149.9058
531,US-2015-138303,9/3/2015,9/3/2015,9/7/2015,Standard Class,MG-18145,95,1,11,MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-EN-10001335,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",52.512,6,0.2,19.692
532,CA-2015-102848,11/7/2015,11/7/2015,11/9/2015,Second Class,KB-16240,89,1,17,KB-16240,Karen Bern,Corporate,United States,Los Angeles,California,90036,West,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,190.72,1,0.2,11.92
533,US-2017-129441,9/7/2017,9/7/2017,9/11/2017,Standard Class,JC-15340,79,0,10,JC-15340,Jasper Cacioppo,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,47.94,3,0,2.397
534,CA-2016-168753,5/29/2016,5/29/2016,6/1/2016,Second Class,RL-19615,77,1,25,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,979.95,5,0,274.386
535,CA-2016-168753,5/29/2016,5/29/2016,6/1/2016,Second Class,RL-19615,60,0,22,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,22.75,5,0,11.375
536,CA-2016-126613,7/10/2016,7/10/2016,7/16/2016,Standard Class,AA-10375,87,0,9,AA-10375,Allen Armold,Consumer,United States,Mesa,Arizona,85204,West,OFF-ST-10001325,Office Supplies,Storage,Sterilite Officeware Hinged File Box,16.768,2,0.2,1.4672
537,US-2017-122637,9/3/2017,9/3/2017,9/8/2017,Second Class,EP-13915,81,1,17,EP-13915,Emily Phan,Consumer,United States,Chicago,Illinois,60653,Central,OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",42.616,7,0.8,-68.1856
538,CA-2015-147851,12/3/2015,12/3/2015,12/8/2015,Standard Class,MP-17470,52,0,10,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10009,East,OFF-BI-10004528,Office Supplies,Binders,Cardinal Poly Pocket Divider Pockets for Ring Binders,10.752,4,0.2,3.36
539,CA-2015-134894,12/7/2015,12/7/2015,12/11/2015,Standard Class,DK-12985,93,0,21,DK-12985,Darren Koutras,Consumer,United States,Henderson,Kentucky,42420,South,OFF-AP-10001271,Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,152.94,3,0,41.2938
540,CA-2015-134894,12/7/2015,12/7/2015,12/11/2015,Standard Class,DK-12985,85,1,15,DK-12985,Darren Koutras,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",283.92,4,0,70.98
541,CA-2014-140795,2/1/2014,2/1/2014,2/3/2014,First Class,BD-11500,54,1,26,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0,206.316
542,CA-2016-136924,7/14/2016,7/14/2016,7/17/2016,First Class,ES-14080,82,1,18,ES-14080,Erin Smith,Corporate,United States,Tucson,Arizona,85705,West,TEC-PH-10002262,Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,380.864,8,0.2,38.0864
543,US-2015-120161,12/18/2015,12/18/2015,12/23/2015,Standard Class,LM-17065,72,1,19,LM-17065,Liz MacKendrick,Consumer,United States,Springfield,Ohio,45503,East,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,646.776,9,0.2,-145.5246
544,CA-2014-103849,5/11/2014,5/11/2014,5/16/2014,Standard Class,PG-18895,95,1,8,PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,76106,Central,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,58.112,2,0.2,7.264
545,CA-2014-103849,5/11/2014,5/11/2014,5/16/2014,Standard Class,PG-18895,100,0,14,PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,76106,Central,TEC-PH-10002597,Technology,Phones,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,100.792,1,0.2,6.2995
546,CA-2014-103849,5/11/2014,5/11/2014,5/16/2014,Standard Class,PG-18895,94,1,24,PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,76106,Central,FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",66.112,4,0.6,-84.2928
547,CA-2017-162929,11/19/2017,11/19/2017,11/22/2017,First Class,AS-10135,95,1,24,AS-10135,Adrian Shami,Home Office,United States,New York City,New York,10035,East,OFF-BI-10000404,Office Supplies,Binders,Avery Printable Repositionable Plastic Tabs,41.28,6,0.2,13.932
548,CA-2017-162929,11/19/2017,11/19/2017,11/22/2017,First Class,AS-10135,83,1,19,AS-10135,Adrian Shami,Home Office,United States,New York City,New York,10035,East,OFF-PA-10002986,Office Supplies,Paper,Xerox 1898,13.36,2,0,6.4128
549,CA-2015-113173,11/15/2015,11/15/2015,11/17/2015,Second Class,DK-13225,60,1,18,DK-13225,Dean Katz,Corporate,United States,Chicago,Illinois,60653,Central,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,250.272,9,0.2,15.642
550,CA-2015-113173,11/15/2015,11/15/2015,11/17/2015,Second Class,DK-13225,56,0,17,DK-13225,Dean Katz,Corporate,United States,Chicago,Illinois,60653,Central,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,11.364,3,0.8,-17.046
551,CA-2015-113173,11/15/2015,11/15/2015,11/17/2015,Second Class,DK-13225,77,0,18,DK-13225,Dean Katz,Corporate,United States,Chicago,Illinois,60653,Central,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,8.72,5,0.2,-1.744
552,CA-2016-136406,4/15/2016,4/15/2016,4/17/2016,Second Class,BD-11320,79,1,15,BD-11320,Bill Donatelli,Consumer,United States,San Francisco,California,94110,West,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,1121.568,2,0.2,0
553,CA-2017-112774,9/11/2017,9/11/2017,9/12/2017,First Class,RC-19960,69,1,19,RC-19960,Ryan Crowe,Consumer,United States,Jacksonville,Florida,32216,South,FUR-FU-10003039,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",34.504,1,0.2,6.0382
554,CA-2017-101945,11/24/2017,11/24/2017,11/28/2017,Standard Class,GT-14710,78,1,10,GT-14710,Greg Tran,Consumer,United States,Houston,Texas,77070,Central,OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,10.824,3,0.2,2.5707
555,CA-2017-100650,6/29/2017,6/29/2017,7/3/2017,Second Class,DK-13225,69,1,19,DK-13225,Dean Katz,Corporate,United States,Anaheim,California,92804,West,OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1295.78,2,0,310.9872
556,CA-2014-155852,3/3/2014,3/3/2014,3/7/2014,Second Class,AJ-10945,70,1,11,AJ-10945,Ashley Jarboe,Consumer,United States,Wilmington,North Carolina,28403,South,OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.456,4,0.2,3.4048
557,CA-2016-113243,6/10/2016,6/10/2016,6/15/2016,Standard Class,OT-18730,61,1,15,OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045,West,OFF-LA-10001297,Office Supplies,Labels,Avery 473,20.7,2,0,9.936
558,CA-2016-113243,6/10/2016,6/10/2016,6/15/2016,Standard Class,OT-18730,59,1,18,OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045,West,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,1335.68,4,0.2,-217.048
559,CA-2016-113243,6/10/2016,6/10/2016,6/15/2016,Standard Class,OT-18730,84,0,15,OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,32.4,5,0,15.552
560,CA-2017-118731,11/20/2017,11/20/2017,11/22/2017,Second Class,LP-17080,92,0,20,LP-17080,Liz Pelletier,Consumer,United States,San Francisco,California,94110,West,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,42.6,3,0,16.614
561,CA-2017-118731,11/20/2017,11/20/2017,11/22/2017,Second Class,LP-17080,63,1,26,LP-17080,Liz Pelletier,Consumer,United States,San Francisco,California,94110,West,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",84.056,7,0.2,27.3182
562,CA-2014-145576,9/14/2014,9/14/2014,9/18/2014,Second Class,CA-12775,64,1,24,CA-12775,Cynthia Arntzen,Consumer,United States,Tampa,Florida,33614,South,OFF-AP-10003914,Office Supplies,Appliances,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",13,5,0.2,1.3
563,CA-2014-145576,9/14/2014,9/14/2014,9/18/2014,Second Class,CA-12775,79,1,22,CA-12775,Cynthia Arntzen,Consumer,United States,Tampa,Florida,33614,South,FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,13.128,3,0.2,3.7743
564,CA-2015-130736,12/7/2015,12/7/2015,12/9/2015,First Class,JF-15490,67,1,15,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,98105,West,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",3.96,2,0,0
565,CA-2015-130736,12/7/2015,12/7/2015,12/9/2015,First Class,JF-15490,71,1,14,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,98105,West,OFF-LA-10000634,Office Supplies,Labels,Avery 509,2.61,1,0,1.2006
566,CA-2017-137099,12/7/2017,12/7/2017,12/10/2017,First Class,FP-14320,56,0,22,FP-14320,Frank Preis,Consumer,United States,Los Angeles,California,90008,West,TEC-PH-10002496,Technology,Phones,Cisco SPA301,374.376,3,0.2,46.797
567,CA-2017-156951,10/1/2017,10/1/2017,10/8/2017,Standard Class,EB-13840,95,0,28,EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,98105,West,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,91.84,8,0,45.0016
568,CA-2017-156951,10/1/2017,10/1/2017,10/8/2017,Standard Class,EB-13840,64,1,15,EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,98105,West,OFF-BI-10001107,Office Supplies,Binders,"GBC White Gloss Covers, Plain Front",81.088,7,0.2,27.3672
569,CA-2017-156951,10/1/2017,10/1/2017,10/8/2017,Standard Class,EB-13840,76,0,21,EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,98105,West,OFF-PA-10004451,Office Supplies,Paper,Xerox 222,19.44,3,0,9.3312
570,CA-2017-156951,10/1/2017,10/1/2017,10/8/2017,Standard Class,EB-13840,69,1,9,EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,98105,West,FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,451.152,3,0.2,0
571,CA-2017-164826,12/28/2017,12/28/2017,1/4/2018,Standard Class,JF-15415,94,1,25,JF-15415,Jennifer Ferguson,Consumer,United States,New York City,New York,10024,East,OFF-LA-10001297,Office Supplies,Labels,Avery 473,72.45,7,0,34.776
572,CA-2017-164826,12/28/2017,12/28/2017,1/4/2018,Standard Class,JF-15415,97,1,15,JF-15415,Jennifer Ferguson,Consumer,United States,New York City,New York,10024,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,13.96,4,0,6.4216
573,CA-2017-164826,12/28/2017,12/28/2017,1/4/2018,Standard Class,JF-15415,90,1,18,JF-15415,Jennifer Ferguson,Consumer,United States,New York City,New York,10024,East,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,33.264,7,0.2,11.2266
574,CA-2017-164826,12/28/2017,12/28/2017,1/4/2018,Standard Class,JF-15415,57,1,18,JF-15415,Jennifer Ferguson,Consumer,United States,New York City,New York,10024,East,TEC-PH-10000347,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,14.85,3,0,4.0095
575,CA-2016-127250,11/3/2016,11/3/2016,11/7/2016,Standard Class,SF-20200,99,0,8,SF-20200,Sarah Foster,Consumer,United States,Marysville,Washington,98270,West,OFF-AR-10003394,Office Supplies,Art,Newell 332,8.82,3,0,2.3814
576,CA-2015-149713,9/18/2015,9/18/2015,9/22/2015,Second Class,TG-21640,83,1,23,TG-21640,Trudy Glocke,Consumer,United States,Long Beach,California,90805,West,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,160.72,14,0,78.7528
